MIZ,20141023,0.005,0.005,0.005,0.005,2357010
MKB,20141023,0.145,0.15,0.14,0.14,1041717
MLB,20141023,1.355,1.36,1.31,1.31,48126
MLD,20141023,1.235,1.25,1.21,1.24,916696
MLT,20141023,4.3,4.35,4.3,4.32,200622
MLX,20141023,0.22,0.22,0.215,0.215,528733
MML,20141023,0.7,0.735,0.7,0.72,1927655
MMS,20141023,10.02,10.12,10,10.01,223416
MNC,20141023,0.013,0.013,0.012,0.013,1993486
MND,20141023,12.49,12.69,12.4,12.46,236006
MNE,20141023,0.014,0.014,0.013,0.013,2708581
MNF,20141023,3.2,3.25,3.17,3.2,92666
MNS,20141023,0.195,0.21,0.185,0.195,733473
MNW,20141023,0.12,0.125,0.11,0.11,3178019
MNY,20141023,1.215,1.215,1.2,1.2,29314
MNZ,20141023,1.25,1.25,1.22,1.22,14928
MOC,20141023,2.53,2.55,2.5,2.5,93673
MOD,20141023,0.007,0.008,0.007,0.007,3473333
MOY,20141023,0.077,0.081,0.077,0.081,115023
MOZ,20141023,0.009,0.009,0.009,0.009,100000
MPJ,20141023,0.008,0.009,0.008,0.009,4115196
MQA,20141023,3.03,3.105,3.01,3.09,1121411
MQG,20141023,59.03,59.53,58.89,59.53,1002809
MRF,20141023,0.087,0.09,0.087,0.088,426228
MRM,20141023,1.875,1.895,1.855,1.865,630163
MRP,20141023,0.115,0.115,0.11,0.11,100000
MSB,20141023,3.75,3.78,3.71,3.75,295768
MSV,20141023,0.033,0.034,0.032,0.034,1095000
MTA,20141023,0.12,0.12,0.12,0.12,102570
MTE,20141023,0.03,0.03,0.03,0.03,9600
MTR,20141023,2.28,2.32,2.28,2.32,5039
MTS,20141023,2.73,2.76,2.705,2.74,3334156
MTU,20141023,7.84,7.93,7.81,7.85,485052
MUE,20141023,0.037,0.037,0.036,0.037,601964
MVF,20141023,1.58,1.62,1.56,1.585,202342
MVP,20141023,1.18,1.18,1.18,1.18,274
MVW,20141023,20.55,20.55,20.49,20.49,62756
MXI,20141023,0.85,0.87,0.85,0.85,32110
MYR,20141023,1.84,1.84,1.805,1.82,2075221
MYS,20141023,4.59,4.66,4.59,4.66,6115
MYX,20141023,0.76,0.77,0.755,0.755,332143
MZI,20141023,0.007,0.007,0.006,0.006,10247970
NAB,20141023,33.69,34.05,33.65,34.04,3571064
NAN,20141023,0.985,1,0.98,0.99,212005
